Name,directly_under,确诊,治愈,死亡,日期
阜南县,阜阳市,2,0,0,2020-01-24
霍邱县,六安市,2,0,0,2020-01-24
金寨县,六安市,2,0,0,2020-01-24
临泉县,阜阳市,2,0,0,2020-01-24
石台县,池州市,1,0,0,2020-01-24
太湖县,安庆市,1,0,0,2020-01-24
望江县,安庆市,1,0,0,2020-01-24
萧县,宿州市,2,0,0,2020-01-26
颍东区,阜阳市,2,0,0,2020-01-24
安定区,定西市,1,0,0,2020-01-26
宕昌县,陇南市,1,0,0,2020-01-27
东乡县,临夏回族自治州,1,0,0,2020-01-25
古浪县,武威市,0,0,0,0
广河县,临夏回族自治州,1,0,0,2020-01-25
合水县,庆阳市,1,0,0,2020-02-03
和政县,临夏回族自治州,1,0,0,2020-01-25
华池县,庆阳市,1,0,0,2020-02-03
环县,庆阳市,1,0,0,2020-02-03
会宁县,白银市,1,0,0,2020-01-24
积石山县,临夏回族自治州,1,0,0,2020-01-25
靖远县,白银市,1,0,0,2020-01-24
静宁县,平凉市,1,0,0,2020-01-29
康乐县,临夏回族自治州,1,0,0,2020-01-25
康县,陇南市,1,0,0,2020-01-27
礼县,陇南市,1,0,0,2020-01-27
临潭县,甘南藏族自治州,1,0,0,2020-02-01
临洮县,定西市,1,0,0,2020-01-26
临夏县,临夏回族自治州,1,0,0,2020-01-25
陇西县,定西市,1,0,0,2020-01-26
麦积区,天水市,1,0,0,2020-01-28
岷县,定西市,1,0,0,2020-01-26
宁县,庆阳市,1,0,0,2020-02-03
秦安县,天水市,1,0,0,2020-01-28
清水县,天水市,1,0,0,2020-01-28
庆城县,庆阳市,1,0,0,2020-02-03
天祝县,武威市,0,0,0,0
通渭县,定西市,1,0,0,2020-01-26
渭源县,定西市,1,0,0,2020-01-26
文县,陇南市,1,0,0,2020-01-27
武都区,陇南市,1,0,0,2020-01-27
西和县,陇南市,1,0,0,2020-01-27
永靖县,临夏回族自治州,1,0,0,2020-01-25
张家川县,天水市,1,0,0,2020-01-28
漳县,定西市,1,0,0,2020-01-26
镇原县,庆阳市,1,0,0,2020-02-03
舟曲县,甘南藏族自治州,1,0,0,2020-02-01
庄浪县,平凉市,1,0,0,2020-01-29
巴马县,河池市,1,0,0,2020-01-24
大化县,河池市,1,0,0,2020-01-24
德保县,百色市,1,0,0,2020-01-24
东兰县,河池市,1,0,0,2020-01-24
都安县,河池市,1,0,0,2020-01-24
凤山县,河池市,1,0,0,2020-01-24
环江县,河池市,1,0,0,2020-01-24
靖西县,百色市,1,0,0,2020-01-24
乐业县,百色市,1,0,0,2020-01-24
凌云县,百色市,1,0,0,2020-01-24
隆安县,南宁市,1,0,0,2020-01-26
隆林县,百色市,1,0,0,2020-01-24
罗城县,河池市,1,0,0,2020-01-24
马山县,南宁市,1,0,0,2020-01-26
那坡县,百色市,1,0,0,2020-01-24
融安县,柳州市,2,0,0,2020-01-24
融水县,柳州市,2,0,0,2020-01-24
三江县,柳州市,2,0,0,2020-01-24
上林县,南宁市,1,0,0,2020-01-26
天等县,崇左市,0,0,0,0
田林县,百色市,1,0,0,2020-01-24
忻城县,来宾市,1,0,0,2020-02-06
昭平县,贺州市,1,0,0,2020-01-30
毕节市,毕节市,1,0,0,2020-01-30
册亨县,黔西南布依族苗族自治州,0,0,0,0
岑巩县,黔东南苗族侗族自治州,0,0,0,0
长顺县,黔南布依族苗族自治州,0,0,0,0
从江县,黔东南苗族侗族自治州,0,0,0,0
德江县,铜仁市,1,0,0,2020-01-24
独山县,黔南布依族苗族自治州,0,0,0,0
关岭县,安顺市,2,0,0,2020-02-02
赫章县,毕节市,1,0,0,2020-01-30
黄平县,黔东南苗族侗族自治州,0,0,0,0
剑河县,黔东南苗族侗族自治州,0,0,0,0
锦屏县,黔东南苗族侗族自治州,0,0,0,0
黎平县,黔东南苗族侗族自治州,0,0,0,0
荔波县,黔南布依族苗族自治州,0,0,0,0
罗甸县,黔南布依族苗族自治州,0,0,0,0
纳雍县,毕节市,1,0,0,2020-01-30
平塘县,黔南布依族苗族自治州,0,0,0,0
普安县,黔西南布依族苗族自治州,0,0,0,0
晴隆县,黔西南布依族苗族自治州,0,0,0,0
榕江县,黔东南苗族侗族自治州,0,0,0,0
三都县,黔南布依族苗族自治州,0,0,0,0
水城县,六盘水市,1,0,0,2020-01-27
思南县,铜仁市,1,0,0,2020-01-24
松桃县,铜仁市,1,0,0,2020-01-24
台江县,黔东南苗族侗族自治州,0,0,0,0
天柱县,黔东南苗族侗族自治州,0,0,0,0
望谟县,黔西南布依族苗族自治州,0,0,0,0
威宁县,毕节市,1,0,0,2020-01-30
沿河县,铜仁市,1,0,0,2020-01-24
贞丰县,黔西南布依族苗族自治州,0,0,0,0
正安县,遵义市,1,0,0,2020-01-30
织金县,毕节市,1,0,0,2020-01-30
紫云县,安顺市,2,0,0,2020-02-02
白沙县,儋州市,3,0,0,2020-01-25
临高县,儋州市,3,0,0,2020-01-25
五指山市,儋州市,3,0,0,2020-01-25
赤城县,张家口市,1,0,0,2020-01-29
丰宁县,承德市,1,0,0,2020-01-25
阜平县,保定市,1,0,0,2020-01-25
沽源县,张家口市,1,0,0,2020-01-29
怀安县,张家口市,1,0,0,2020-01-29
康保县,张家口市,1,0,0,2020-01-29
涞源县,保定市,1,0,0,2020-01-25
隆化县,承德市,1,0,0,2020-01-25
尚义县,张家口市,1,0,0,2020-01-29
围场县,承德市,1,0,0,2020-01-25
蔚县,张家口市,1,0,0,2020-01-29
阳原县,张家口市,1,0,0,2020-01-29
张北县,张家口市,1,0,0,2020-01-29
范县,濮阳市,1,0,0,2020-01-29
淮滨县,信阳市,1,0,0,2020-01-24
卢氏县,三门峡市,1,0,0,2020-01-24
鲁山县,平顶山市,1,0,0,2020-01-25
南召县,南阳市,8,0,0,2020-01-25
平舆县,驻马店市,2,0,0,2020-01-25
确山县,驻马店市,2,0,0,2020-01-25
汝阳县,洛阳市,1,0,0,2020-01-24
上蔡县,驻马店市,2,0,0,2020-01-25
社旗县,南阳市,8,0,0,2020-01-25
嵩县,洛阳市,1,0,0,2020-01-24
台前县,濮阳市,1,0,0,2020-01-29
桐柏县,南阳市,8,0,0,2020-01-25
淅川县,南阳市,8,0,0,2020-01-25
拜泉县,齐齐哈尔市,1,0,0,2020-01-26
海伦市,绥化市,1,0,1,2020-01-24
林甸县,大庆市,1,0,0,2020-01-24
青冈县,绥化市,1,0,1,2020-01-24
延寿县,哈尔滨市,1,0,0,2020-01-24
巴东县,恩施土家族苗族自治州,0,0,0,0
长阳县,宜昌市,1,0,1,2020-01-24
大悟县,孝感市,22,0,0,2020-01-24
恩施市,恩施土家族苗族自治州,0,0,0,0
房县,十堰市,1,0,0,2020-01-24
建始县,恩施土家族苗族自治州,0,0,0,0
利川市,恩施土家族苗族自治州,0,0,0,0
麻城市,黄冈市,12,0,0,2020-01-24
蕲春县,黄冈市,12,0,0,2020-01-24
五峰县,宜昌市,1,0,1,2020-01-24
咸丰县,恩施土家族苗族自治州,0,0,0,0
孝昌县,孝感市,22,0,0,2020-01-24
郧西县,十堰市,1,0,0,2020-01-24
郧阳区,十堰市,1,0,0,2020-01-24
竹山县,十堰市,1,0,0,2020-01-24
竹溪县,十堰市,1,0,0,2020-01-24
保靖县,湘西土家族苗族自治州,0,0,0,0
城步县,邵阳市,2,0,0,2020-01-25
洞口县,邵阳市,2,0,0,2020-01-25
凤凰县,湘西土家族苗族自治州,0,0,0,0
古丈县,湘西土家族苗族自治州,0,0,0,0
花垣县,湘西土家族苗族自治州,0,0,0,0
涟源市,娄底市,3,0,0,2020-01-24
龙山县,湘西土家族苗族自治州,0,0,0,0
隆回县,邵阳市,2,0,0,2020-01-25
泸溪县,湘西土家族苗族自治州,0,0,0,0
麻阳县,怀化市,3,0,0,2020-01-24
桑植县,张家界市,1,0,0,2020-01-30
邵阳县,邵阳市,2,0,0,2020-01-25
通道县,怀化市,3,0,0,2020-01-24
新化县,娄底市,3,0,0,2020-01-24
新宁县,邵阳市,2,0,0,2020-01-25
新田县,永州市,4,0,0,2020-01-24
溆浦县,怀化市,3,0,0,2020-01-24
永顺县,湘西土家族苗族自治州,0,0,0,0
沅陵县,怀化市,3,0,0,2020-01-24
安图县,延边朝鲜族自治州,2,0,0,2020-01-30
大安市,白城市,1,0,0,2020-02-08
靖宇县,白山市,0,0,0,0
通榆县,白城市,1,0,0,2020-02-08
汪清县,延边朝鲜族自治州,2,0,0,2020-01-30
赣县区,赣州市,2,0,0,2020-01-25
宁都县,赣州市,2,0,0,2020-01-25
鄱阳县,上饶市,2,0,0,2020-01-25
兴国县,赣州市,2,0,0,2020-01-25
修水县,九江市,1,0,0,2020-01-24
于都县,赣州市,2,0,0,2020-01-25
阿鲁科尔沁旗,赤峰市,1,0,0,2020-01-25
敖汉旗,赤峰市,1,0,0,2020-01-25
巴林左旗,赤峰市,1,0,0,2020-01-25
察哈尔右翼后旗,乌兰察布市,2,0,0,2020-01-31
察哈尔右翼前旗,乌兰察布市,2,0,0,2020-01-31
鄂伦春自治旗,呼伦贝尔市,1,0,0,2020-01-25
化德县,乌兰察布市,2,0,0,2020-01-31
科尔沁右翼前旗,兴安盟,1,0,0,2020-01-28
科尔沁左翼中旗,通辽市,1,0,0,2020-01-28
库伦旗,通辽市,1,0,0,2020-01-28
莫力达瓦达斡尔族自治旗,呼伦贝尔市,1,0,0,2020-01-25
奈曼旗,通辽市,1,0,0,2020-01-28
商都县,乌兰察布市,2,0,0,2020-01-31
四子王旗,乌兰察布市,2,0,0,2020-01-31
太仆寺旗,锡林郭勒盟,2,0,0,2020-01-25
突泉县,兴安盟,1,0,0,2020-01-28
翁牛特旗,赤峰市,1,0,0,2020-01-25
兴和县,乌兰察布市,2,0,0,2020-01-31
正镶白旗,锡林郭勒盟,2,0,0,2020-01-25
卓资县,乌兰察布市,2,0,0,2020-01-31
海原县,中卫市,1,0,0,2020-01-24
同心县,吴忠市,2,0,0,2020-01-28
西吉县,固原市,1,0,0,2020-01-25
原州区,固原市,1,0,0,2020-01-25
班玛县,果洛藏族自治州,0,0,0,0
达日县,果洛藏族自治州,0,0,0,0
甘德县,果洛藏族自治州,0,0,0,0
共和县,海南藏族自治州,0,0,0,0
贵德县,海南藏族自治州,0,0,0,0
化隆县,海东市,0,0,0,0
尖扎县,黄南藏族自治州,0,0,0,0
久治县,果洛藏族自治州,0,0,0,0
乐都区,海东市,0,0,0,0
玛沁县,果洛藏族自治州,0,0,0,0
茫崖行委,海西蒙古族藏族自治州,0,0,0,0
民和县,海东市,0,0,0,0
囊谦县,玉树藏族自治州,0,0,0,0
曲麻莱县,玉树藏族自治州,0,0,0,0
同仁县,黄南藏族自治州,0,0,0,0
杂多县,玉树藏族自治州,0,0,0,0
