,Unnamed: 0,省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡,日期
10999,0,海南省,168,96,4,三亚,0,0,0,54,30,1,2020/2/22
11000,0,海南省,168,96,4,海口,0,0,0,39,19,0,2020/2/22
11001,0,海南省,168,96,4,昌江,0,0,0,7,2,0,2020/2/22
11002,0,海南省,168,96,4,儋州,0,0,0,15,11,0,2020/2/22
11003,0,海南省,168,96,4,万宁,0,0,0,13,9,0,2020/2/22
11004,0,海南省,168,96,4,澄迈,0,1,0,9,5,1,2020/2/22
11005,0,海南省,168,96,4,陵水,0,0,0,4,1,0,2020/2/22
11006,0,海南省,168,96,4,临高,0,0,0,6,4,0,2020/2/22
11007,0,海南省,168,96,4,保亭,0,0,0,3,1,0,2020/2/22
11008,0,海南省,168,96,4,琼海,0,0,0,6,4,1,2020/2/22
11009,0,海南省,168,96,4,东方,0,0,0,3,2,0,2020/2/22
11010,0,海南省,168,96,4,定安,0,0,0,3,2,1,2020/2/22
11011,0,海南省,168,96,4,文昌,0,0,0,3,3,0,2020/2/22
11012,0,海南省,168,96,4,乐东,0,0,0,2,2,0,2020/2/22
11013,0,海南省,168,96,4,琼中,0,0,0,1,1,0,2020/2/22
11014,0,陕西省,245,140,1,西安,0,0,0,120,59,1,2020/2/22
11015,0,陕西省,245,140,1,汉中,0,0,0,26,10,0,2020/2/22
11016,0,陕西省,245,140,1,渭南,0,0,0,15,4,0,2020/2/22
11017,0,陕西省,245,140,1,安康,0,0,0,26,16,0,2020/2/22
11018,0,陕西省,245,140,1,咸阳,0,0,0,17,14,0,2020/2/22
11019,0,陕西省,245,140,1,商洛,0,0,0,7,4,0,2020/2/22
11020,0,陕西省,245,140,1,宝鸡,0,0,0,13,11,0,2020/2/22
11021,0,陕西省,245,140,1,延安,0,0,0,8,6,0,2020/2/22
11022,0,陕西省,245,140,1,铜川,0,0,0,8,6,0,2020/2/22
11023,0,陕西省,245,140,1,杨凌,0,0,0,1,0,0,2020/2/22
11024,0,陕西省,245,140,1,榆林,0,0,0,3,3,0,2020/2/22
11025,0,陕西省,245,140,1,韩城,0,0,0,1,1,0,2020/2/22
11026,0,陕西省,245,140,1,待明确地区,0,6,0,0,6,0,2020/2/22
11027,0,江西省,934,544,1,九江,0,0,0,118,47,0,2020/2/22
11028,0,江西省,934,544,1,南昌,0,17,0,229,162,0,2020/2/22
11029,0,江西省,934,544,1,上饶,0,11,0,123,75,0,2020/2/22
11030,0,江西省,934,544,1,宜春,0,5,0,106,58,0,2020/2/22
11031,0,江西省,934,544,1,新余,0,7,0,130,87,0,2020/2/22
11032,0,江西省,934,544,1,赣州,0,6,0,76,40,1,2020/2/22
